id_station,date,t(t-r),n,kp,RRR,T,Td,sss
30526,2017-01-01 00:00:00,-47.994374999999984,0.0,0.0,0.2,-24.6125,-26.5625,28.0
30526,2017-01-02 00:00:00,-52.68656250000003,0.0,0.0,0.7,-16.0875,-19.3625,29.0
30526,2017-01-03 00:00:00,-31.272031250000012,0.0,0.0,2.0,-12.962499999999999,-15.375,34.0
30526,2017-01-04 00:00:00,40.171875,0.0,0.0,0.0,3.75,-6.9625,15.0
30526,2017-01-05 00:00:00,18.980781250000003,0.0,0.0,0.4,4.5875,0.45000000000000007,
30526,2017-01-06 00:00:00,31.200000000000003,0.0,31.200000000000003,7.0,9.75,6.55,
30526,2017-01-07 00:00:00,286.24249999999995,1.0,317.44249999999994,0.0,23.4625,11.2625,
30526,2017-01-08 00:00:00,64.45749999999998,2.0,381.8999999999999,1.0,16.9625,13.1625,
30526,2017-01-11 00:00:00,-30.080625,3.0,351.8193749999999,0.3,-13.15,-15.4375,2.0
30526,2017-01-12 00:00:00,-23.598437499999942,4.0,328.2209375,1.0,-17.1625,-18.537499999999998,11.0
30526,2017-01-13 00:00:00,-125.8918749999999,5.0,202.32906250000008,0.0,-35.4625,-39.012499999999996,27.0
30526,2017-01-14 00:00:00,-105.31562500000004,6.0,97.01343750000004,0.0,-31.4375,-34.7875,27.0
30526,2017-01-15 00:00:00,-116.97046875000002,7.0,-19.957031249999982,0.0,-25.0875,-29.75,27.0
30526,2017-01-16 00:00:00,-91.72812500000003,8.0,-111.68515625000002,0.0,-24.625,-28.35,26.0
30526,2017-01-17 00:00:00,-79.86781250000004,9.0,-191.55296875000005,0.3,-31.475,-34.0125,26.0
30526,2017-01-18 00:00:00,-84.78125,10.0,-276.33421875000005,0.0,-33.9125,-36.4125,26.0
30526,2017-01-19 00:00:00,-70.121875,11.0,-346.45609375000004,1.0,-29.525,-31.9,26.0
30526,2017-01-20 00:00:00,-48.72656250000002,12.0,-395.18265625,0.3,-25.3125,-27.2375,28.0
30526,2017-01-21 00:00:00,-80.0671875000001,13.0,-475.24984375000014,0.0,-34.4375,-36.7625,28.0
30526,2017-01-22 00:00:00,-76.72750000000005,14.0,-551.9773437500002,0.0,-32.65,-35.0,27.0
30526,2017-01-23 00:00:00,-86.13843749999992,15.0,-638.11578125,0.0,-27.675,-30.787499999999998,26.0
30526,2017-01-24 00:00:00,-72.59625000000003,16.0,-710.7120312500001,0.0,-23.9,-26.9375,28.0
30526,2017-01-25 00:00:00,-50.66406249999999,17.0,-761.3760937500001,0.6,-16.2125,-19.3375,29.0
30526,2017-01-26 00:00:00,-39.400000000000034,18.0,-800.7760937500002,0.0,-24.625,-26.225,29.0
30526,2017-01-27 00:00:00,-52.65,19.0,-853.4260937500002,0.6,-16.2,-19.45,29.0
30526,2017-01-28 00:00:00,-88.27687500000006,20.0,-941.7029687500002,0.0,-26.45,-29.7875,28.0
30526,2017-01-29 00:00:00,-109.85078125,21.0,-1051.5537500000005,0.0,-33.1625,-36.475,28.0
30526,2017-01-30 00:00:00,-85.95437499999996,22.0,-1137.5081250000003,0.2,-23.075000000000003,-26.8,28.0
30526,2017-01-31 00:00:00,-73.88000000000007,23.0,-1211.3881250000004,0.0,-23.0875,-26.2875,28.0
30526,2017-02-01 00:00:00,-42.109375,24.0,-1253.4975000000004,0.2,-24.0625,-25.8125,28.0
30526,2017-02-02 00:00:00,-73.50906250000001,25.0,-1327.0065625000004,0.0,-21.4625,-24.8875,29.0
30526,2017-02-03 00:00:00,-52.106875,26.0,-1379.1134375000004,0.0,-15.85,-19.1375,38.0
30526,2017-02-04 00:00:00,10.7459375,27.0,-1368.3675000000003,0.3,1.7125,-4.5625,13.0
30526,2017-02-05 00:00:00,27.946250000000003,28.0,-1340.4212500000003,0.0,3.5375,-4.3625,
