id_station,date,time,datetime,sss,RRR,T,Td,t(t-r),n,kp
30405,2020-12-31 00:00:00,23:00,2020-12-31 23:00:00,,,-28.3,-31.7,-117.45109375000008,22.0,-1587.9776562499999
30405,2020-12-31 00:00:00,20:00,2020-12-31 20:00:00,,0.0,-27.8,-31.2,-117.45109375000008,22.0,-1587.9776562499999
30405,2020-12-31 00:00:00,17:00,2020-12-31 17:00:00,,,-27.0,-30.8,-117.45109375000008,22.0,-1587.9776562499999
30405,2020-12-31 00:00:00,14:00,2020-12-31 14:00:00,,,-27.5,-31.9,-117.45109375000008,22.0,-1587.9776562499999
30405,2020-12-31 00:00:00,11:00,2020-12-31 11:00:00,,,-31.6,-35.6,-117.45109375000008,22.0,-1587.9776562499999
30405,2020-12-31 00:00:00,08:00,2020-12-31 08:00:00,24.0,0.0,-33.1,-37.2,-117.45109375000008,22.0,-1587.9776562499999
30405,2020-12-31 00:00:00,05:00,2020-12-31 05:00:00,,,-33.1,-37.1,-117.45109375000008,22.0,-1587.9776562499999
30405,2020-12-31 00:00:00,02:00,2020-12-31 02:00:00,,,-33.3,-37.3,-117.45109375000008,22.0,-1587.9776562499999
30405,2020-12-30 00:00:00,23:00,2020-12-30 23:00:00,,,-31.1,-34.7,-128.6085937499999,21.0,-1470.5265624999997
30405,2020-12-30 00:00:00,20:00,2020-12-30 20:00:00,,0.0,-28.0,-31.7,-128.6085937499999,21.0,-1470.5265624999997
30405,2020-12-30 00:00:00,17:00,2020-12-30 17:00:00,,,-25.6,-29.8,-128.6085937499999,21.0,-1470.5265624999997
30405,2020-12-30 00:00:00,14:00,2020-12-30 14:00:00,,,-25.7,-31.0,-128.6085937499999,21.0,-1470.5265624999997
30405,2020-12-30 00:00:00,11:00,2020-12-30 11:00:00,,,-33.7,-37.8,-128.6085937499999,21.0,-1470.5265624999997
30405,2020-12-30 00:00:00,08:00,2020-12-30 08:00:00,24.0,0.0,-35.1,-39.4,-128.6085937499999,21.0,-1470.5265624999997
