id_station,date,time,datetime,sss,RRR,T,Td,t(t-r),n,kp
30219,2020-12-31 00:00:00,20:00,2020-12-31 20:00:00,,0.0,-34.5,-36.8,-79.34999999999991,11.0,-988.9149999999997
30219,2020-12-29 00:00:00,20:00,2020-12-29 20:00:00,,0.0,-36.6,-38.8,-418.8475000000001,10.0,-909.5649999999998
30219,2020-12-29 00:00:00,08:00,2020-12-29 08:00:00,48.0,0.3,-33.5,-55.2,-418.8475000000001,10.0,-909.5649999999998
30219,2020-12-28 00:00:00,20:00,2020-12-28 20:00:00,,0.0,-39.5,-41.7,-91.125,9.0,-490.7174999999998
30219,2020-12-28 00:00:00,08:00,2020-12-28 08:00:00,48.0,0.2,-41.5,-43.8,-91.125,9.0,-490.7174999999998
30219,2020-12-27 00:00:00,20:00,2020-12-27 20:00:00,,0.3,-35.7,-38.1,-93.95999999999968,8.0,-399.5924999999998
30219,2020-12-27 00:00:00,08:00,2020-12-27 08:00:00,48.0,0.0,-42.6,-45.0,-93.95999999999968,8.0,-399.5924999999998
30219,2020-12-26 00:00:00,20:00,2020-12-26 20:00:00,,0.3,-33.5,-35.3,-54.62999999999992,7.0,-305.6325000000001
30219,2020-12-26 00:00:00,08:00,2020-12-26 08:00:00,48.0,1.0,-27.2,-29.0,-54.62999999999992,7.0,-305.6325000000001
30219,2020-12-25 00:00:00,20:00,2020-12-25 20:00:00,,0.0,-36.1,-38.4,-91.76750000000006,6.0,-251.00250000000017
30219,2020-12-25 00:00:00,08:00,2020-12-25 08:00:00,48.0,0.0,-42.0,-44.4,-91.76750000000006,6.0,-251.00250000000017
30219,2020-12-24 00:00:00,20:00,2020-12-24 20:00:00,,0.0,-33.2,-35.0,-57.050000000000004,5.0,-159.2350000000001
30219,2020-12-24 00:00:00,08:00,2020-12-24 08:00:00,48.0,0.3,-32.0,-33.7,-57.050000000000004,5.0,-159.2350000000001
30219,2020-12-23 00:00:00,20:00,2020-12-23 20:00:00,,0.7,-18.2,-20.8,-40.60750000000003,4.0,-102.1850000000001
30219,2020-12-23 00:00:00,08:00,2020-12-23 08:00:00,48.0,0.3,-25.7,-26.8,-40.60750000000003,4.0,-102.1850000000001
30219,2020-12-22 00:00:00,20:00,2020-12-22 20:00:00,,2.0,-16.4,-19.0,-38.570000000000036,3.0,-61.57750000000007
30219,2020-12-22 00:00:00,08:00,2020-12-22 08:00:00,47.0,0.4,-24.2,-25.4,-38.570000000000036,3.0,-61.57750000000007
30219,2020-12-21 00:00:00,20:00,2020-12-21 20:00:00,,2.0,-17.1,-17.7,-10.650000000000025,2.0,-23.007500000000036
30219,2020-12-21 00:00:00,08:00,2020-12-21 08:00:00,44.0,0.4,-18.4,-19.0,-10.650000000000025,2.0,-23.007500000000036
30219,2020-12-20 00:00:00,20:00,2020-12-20 20:00:00,,0.9,-12.1,-12.7,-4.9200000000000115,1.0,-12.35750000000001
30219,2020-12-20 00:00:00,08:00,2020-12-20 08:00:00,44.0,1.0,-4.3,-4.9,-4.9200000000000115,1.0,-12.35750000000001
30219,2020-12-19 00:00:00,20:00,2020-12-19 20:00:00,,2.0,-3.8,-5.3,-7.437499999999999,0.0,-7.437499999999999
30219,2020-12-19 00:00:00,08:00,2020-12-19 08:00:00,43.0,3.0,-8.1,-9.1,-7.437499999999999,0.0,-7.437499999999999
30219,2020-12-18 00:00:00,20:00,2020-12-18 20:00:00,,1.0,-14.7,-15.3,-23.339999999999986,12.0,-90.79750000000016
