id_station,date,time,datetime,sss,RRR,T,Td,t(t-r),n,kp
30323,2020-12-31 00:00:00,23:00,2020-12-31 23:00:00,,,-38.0,-40.3,-104.37578125,22.0,-1644.6542187500002
30323,2020-12-31 00:00:00,20:00,2020-12-31 20:00:00,,0.0,-36.0,-40.8,-104.37578125,22.0,-1644.6542187500002
30323,2020-12-31 00:00:00,17:00,2020-12-31 17:00:00,,,-38.4,-40.8,-104.37578125,22.0,-1644.6542187500002
30323,2020-12-31 00:00:00,14:00,2020-12-31 14:00:00,,,-37.5,-40.5,-104.37578125,22.0,-1644.6542187500002
30323,2020-12-31 00:00:00,11:00,2020-12-31 11:00:00,,,-40.4,-42.7,-104.37578125,22.0,-1644.6542187500002
30323,2020-12-31 00:00:00,08:00,2020-12-31 08:00:00,28.0,0.0,-40.7,-42.7,-104.37578125,22.0,-1644.6542187500002
30323,2020-12-31 00:00:00,05:00,2020-12-31 05:00:00,,,-40.3,-42.7,-104.37578125,22.0,-1644.6542187500002
30323,2020-12-31 00:00:00,02:00,2020-12-31 02:00:00,,,-39.4,-41.7,-104.37578125,22.0,-1644.6542187500002
30323,2020-12-30 00:00:00,23:00,2020-12-30 23:00:00,,,-39.2,-41.8,-148.61031250000016,21.0,-1540.2784375
30323,2020-12-30 00:00:00,20:00,2020-12-30 20:00:00,,0.0,-37.8,-42.6,-148.61031250000016,21.0,-1540.2784375
30323,2020-12-30 00:00:00,17:00,2020-12-30 17:00:00,,,-36.4,-39.4,-148.61031250000016,21.0,-1540.2784375
30323,2020-12-30 00:00:00,14:00,2020-12-30 14:00:00,,,-34.9,-40.2,-148.61031250000016,21.0,-1540.2784375
30323,2020-12-30 00:00:00,11:00,2020-12-30 11:00:00,,,-38.9,-41.8,-148.61031250000016,21.0,-1540.2784375
30323,2020-12-30 00:00:00,08:00,2020-12-30 08:00:00,28.0,0.0,-39.5,-44.4,-148.61031250000016,21.0,-1540.2784375
30323,2020-12-30 00:00:00,05:00,2020-12-30 05:00:00,,,-38.7,-43.6,-148.61031250000016,21.0,-1540.2784375
30323,2020-12-30 00:00:00,02:00,2020-12-30 02:00:00,,,-37.5,-40.5,-148.61031250000016,21.0,-1540.2784375
30323,2020-12-29 00:00:00,23:00,2020-12-29 23:00:00,,,-36.7,-38.8,-80.22312499999981,20.0,-1391.668125
30323,2020-12-29 00:00:00,20:00,2020-12-29 20:00:00,,0.0,-34.6,-36.8,-80.22312499999981,20.0,-1391.668125
30323,2020-12-29 00:00:00,17:00,2020-12-29 17:00:00,,,-32.4,-34.8,-80.22312499999981,20.0,-1391.668125
30323,2020-12-29 00:00:00,14:00,2020-12-29 14:00:00,,,-29.9,-33.0,-80.22312499999981,20.0,-1391.668125
30323,2020-12-29 00:00:00,11:00,2020-12-29 11:00:00,,,-32.1,-34.4,-80.22312499999981,20.0,-1391.668125
30323,2020-12-29 00:00:00,08:00,2020-12-29 08:00:00,28.0,0.2,-34.1,-36.5,-80.22312499999981,20.0,-1391.668125
30323,2020-12-29 00:00:00,05:00,2020-12-29 05:00:00,,,-35.6,-37.7,-80.22312499999981,20.0,-1391.668125
30323,2020-12-29 00:00:00,02:00,2020-12-29 02:00:00,,,-37.7,-39.9,-80.22312499999981,20.0,-1391.668125
30323,2020-12-28 00:00:00,23:00,2020-12-28 23:00:00,,,-37.7,-39.9,-101.36046875000004,19.0,-1311.4450000000002
30323,2020-12-28 00:00:00,20:00,2020-12-28 20:00:00,,0.0,-37.5,-39.9,-101.36046875000004,19.0,-1311.4450000000002
30323,2020-12-28 00:00:00,17:00,2020-12-28 17:00:00,,,-36.5,-39.4,-101.36046875000004,19.0,-1311.4450000000002
30323,2020-12-28 00:00:00,14:00,2020-12-28 14:00:00,,,-33.4,-36.3,-101.36046875000004,19.0,-1311.4450000000002
30323,2020-12-28 00:00:00,11:00,2020-12-28 11:00:00,,,-39.0,-43.9,-101.36046875000004,19.0,-1311.4450000000002
30323,2020-12-28 00:00:00,08:00,2020-12-28 08:00:00,28.0,0.2,-37.5,-39.9,-101.36046875000004,19.0,-1311.4450000000002
30323,2020-12-28 00:00:00,05:00,2020-12-28 05:00:00,,,-34.8,-37.1,-101.36046875000004,19.0,-1311.4450000000002
30323,2020-12-28 00:00:00,02:00,2020-12-28 02:00:00,,,-34.5,-36.8,-101.36046875000004,19.0,-1311.4450000000002
30323,2020-12-27 00:00:00,23:00,2020-12-27 23:00:00,,,-34.3,-36.5,-93.0635937499999,18.0,-1210.08453125
30323,2020-12-27 00:00:00,20:00,2020-12-27 20:00:00,,0.3,-35.9,-38.1,-93.0635937499999,18.0,-1210.08453125
30323,2020-12-27 00:00:00,17:00,2020-12-27 17:00:00,,,-36.2,-38.4,-93.0635937499999,18.0,-1210.08453125
30323,2020-12-27 00:00:00,14:00,2020-12-27 14:00:00,,,-36.5,-39.4,-93.0635937499999,18.0,-1210.08453125
30323,2020-12-27 00:00:00,11:00,2020-12-27 11:00:00,,,-39.2,-41.8,-93.0635937499999,18.0,-1210.08453125
30323,2020-12-27 00:00:00,08:00,2020-12-27 08:00:00,28.0,0.0,-40.0,-42.8,-93.0635937499999,18.0,-1210.08453125
30323,2020-12-27 00:00:00,05:00,2020-12-27 05:00:00,,,-39.6,-42.3,-93.0635937499999,18.0,-1210.08453125
30323,2020-12-27 00:00:00,02:00,2020-12-27 02:00:00,,,-37.6,-39.9,-93.0635937499999,18.0,-1210.08453125
30323,2020-12-26 00:00:00,23:00,2020-12-26 23:00:00,,,-35.5,-37.7,-78.37656250000009,17.0,-1117.0209375000002
