id_station,date,time,datetime,sss,RRR,T,Td,t(t-r),n,kp
30622,2020-12-31 00:00:00,23:00,2020-12-31 23:00:00,,,-40.6,-46.2,-229.64343750000018,22.0,-2600.7596874999995
30622,2020-12-31 00:00:00,20:00,2020-12-31 20:00:00,,0.0,-40.0,-45.5,-229.64343750000018,22.0,-2600.7596874999995
30622,2020-12-31 00:00:00,17:00,2020-12-31 17:00:00,,,-37.4,-43.1,-229.64343750000018,22.0,-2600.7596874999995
30622,2020-12-31 00:00:00,14:00,2020-12-31 14:00:00,,,-37.4,-43.8,-229.64343750000018,22.0,-2600.7596874999995
30622,2020-12-31 00:00:00,11:00,2020-12-31 11:00:00,,,-40.9,-46.6,-229.64343750000018,22.0,-2600.7596874999995
30622,2020-12-31 00:00:00,08:00,2020-12-31 08:00:00,19.0,0.0,-42.6,-48.4,-229.64343750000018,22.0,-2600.7596874999995
30622,2020-12-31 00:00:00,05:00,2020-12-31 05:00:00,,,-40.7,-46.3,-229.64343750000018,22.0,-2600.7596874999995
30622,2020-12-31 00:00:00,02:00,2020-12-31 02:00:00,,,-40.6,-46.2,-229.64343750000018,22.0,-2600.7596874999995
30622,2020-12-30 00:00:00,23:00,2020-12-30 23:00:00,,,-40.2,-45.7,-208.4828125,21.0,-2371.116249999999
30622,2020-12-30 00:00:00,20:00,2020-12-30 20:00:00,,0.0,-38.3,-43.5,-208.4828125,21.0,-2371.116249999999
30622,2020-12-30 00:00:00,17:00,2020-12-30 17:00:00,,,-36.7,-42.5,-208.4828125,21.0,-2371.116249999999
30622,2020-12-30 00:00:00,14:00,2020-12-30 14:00:00,,,-36.7,-43.0,-208.4828125,21.0,-2371.116249999999
30622,2020-12-30 00:00:00,11:00,2020-12-30 11:00:00,,,-39.3,-44.7,-208.4828125,21.0,-2371.116249999999
30622,2020-12-30 00:00:00,08:00,2020-12-30 08:00:00,19.0,0.0,-40.9,-45.4,-208.4828125,21.0,-2371.116249999999
30622,2020-12-30 00:00:00,05:00,2020-12-30 05:00:00,,,-39.8,-45.1,-208.4828125,21.0,-2371.116249999999
30622,2020-12-30 00:00:00,02:00,2020-12-30 02:00:00,,,-38.4,-43.4,-208.4828125,21.0,-2371.116249999999
30622,2020-12-29 00:00:00,23:00,2020-12-29 23:00:00,,,-36.3,-41.2,-195.4328124999999,20.0,-2162.633437499999
30622,2020-12-29 00:00:00,20:00,2020-12-29 20:00:00,,0.0,-32.8,-38.1,-195.4328124999999,20.0,-2162.633437499999
30622,2020-12-29 00:00:00,17:00,2020-12-29 17:00:00,,,-32.5,-38.4,-195.4328124999999,20.0,-2162.633437499999
30622,2020-12-29 00:00:00,14:00,2020-12-29 14:00:00,,,-32.9,-39.6,-195.4328124999999,20.0,-2162.633437499999
