id_station,date,time,datetime,sss,RRR,T,Td,t(t-r),n,kp
30612,2020-12-31 00:00:00,23:00,2020-12-31 23:00:00,,,-30.6,-34.7,-134.06999999999982,9.0,-1050.2503125000003
30612,2020-12-31 00:00:00,20:00,2020-12-31 20:00:00,,0.0,-30.5,-34.3,-134.06999999999982,9.0,-1050.2503125000003
30612,2020-12-31 00:00:00,17:00,2020-12-31 17:00:00,,,-30.2,-34.6,-134.06999999999982,9.0,-1050.2503125000003
30612,2020-12-31 00:00:00,14:00,2020-12-31 14:00:00,,,-31.7,-35.8,-134.06999999999982,9.0,-1050.2503125000003
30612,2020-12-31 00:00:00,11:00,2020-12-31 11:00:00,,,-34.2,-38.3,-134.06999999999982,9.0,-1050.2503125000003
30612,2020-12-31 00:00:00,08:00,2020-12-31 08:00:00,17.0,0.0,-34.8,-39.0,-134.06999999999982,9.0,-1050.2503125000003
30612,2020-12-31 00:00:00,05:00,2020-12-31 05:00:00,,,-34.9,-39.0,-134.06999999999982,9.0,-1050.2503125000003
30612,2020-12-31 00:00:00,02:00,2020-12-31 02:00:00,,,-34.7,-38.7,-134.06999999999982,9.0,-1050.2503125000003
30612,2020-12-30 00:00:00,23:00,2020-12-30 23:00:00,,,-33.3,-37.2,-154.49500000000018,8.0,-916.1803125000004
30612,2020-12-30 00:00:00,20:00,2020-12-30 20:00:00,,0.0,-32.2,-36.3,-154.49500000000018,8.0,-916.1803125000004
30612,2020-12-30 00:00:00,17:00,2020-12-30 17:00:00,,,-31.2,-35.9,-154.49500000000018,8.0,-916.1803125000004
30612,2020-12-30 00:00:00,14:00,2020-12-30 14:00:00,,,-34.0,-38.7,-154.49500000000018,8.0,-916.1803125000004
30612,2020-12-30 00:00:00,11:00,2020-12-30 11:00:00,,,-36.8,-41.3,-154.49500000000018,8.0,-916.1803125000004
30612,2020-12-30 00:00:00,08:00,2020-12-30 08:00:00,17.0,0.0,-37.6,-42.0,-154.49500000000018,8.0,-916.1803125000004
30612,2020-12-30 00:00:00,05:00,2020-12-30 05:00:00,,,-37.8,-42.3,-154.49500000000018,8.0,-916.1803125000004
