id_station,date,time,datetime,sss,RRR,T,Td,t(t-r),n,kp
24713,2020-12-31 00:00:00,20:00,2020-12-31 20:00:00,,0.0,-32.6,-33.6,-32.6,19.0,-1137.7324999999996
24713,2020-12-29 00:00:00,20:00,2020-12-29 20:00:00,,0.0,-26.5,-27.7,-30.99999999999991,18.0,-1105.1324999999997
24713,2020-12-29 00:00:00,08:00,2020-12-29 08:00:00,29.0,0.0,-23.1,-24.4,-30.99999999999991,18.0,-1105.1324999999997
24713,2020-12-28 00:00:00,20:00,2020-12-28 20:00:00,,0.7,-23.0,-24.3,-41.25,17.0,-1074.1324999999997
24713,2020-12-28 00:00:00,08:00,2020-12-28 08:00:00,29.0,0.0,-32.0,-33.7,-41.25,17.0,-1074.1324999999997
24713,2020-12-27 00:00:00,20:00,2020-12-27 20:00:00,,0.0,-45.2,-47.2,-93.20249999999994,16.0,-1032.8824999999997
24713,2020-12-27 00:00:00,08:00,2020-12-27 08:00:00,29.0,0.0,-41.5,-43.8,-93.20249999999994,16.0,-1032.8824999999997
24713,2020-12-26 00:00:00,20:00,2020-12-26 20:00:00,,0.0,-46.0,-48.1,-85.04999999999987,15.0,-939.6799999999997
24713,2020-12-26 00:00:00,08:00,2020-12-26 08:00:00,29.0,0.0,-48.5,-50.0,-85.04999999999987,15.0,-939.6799999999997
24713,2020-12-25 00:00:00,20:00,2020-12-25 20:00:00,,0.0,-49.1,-51.2,-90.0900000000002,14.0,-854.6299999999999
24713,2020-12-25 00:00:00,08:00,2020-12-25 08:00:00,29.0,0.0,-51.0,-52.5,-90.0900000000002,14.0,-854.6299999999999
24713,2020-12-24 00:00:00,20:00,2020-12-24 20:00:00,,0.0,-45.6,-48.1,-94.1,13.0,-764.5399999999997
24713,2020-12-24 00:00:00,08:00,2020-12-24 08:00:00,29.0,0.0,-48.5,-50.0,-94.1,13.0,-764.5399999999997
24713,2020-12-23 00:00:00,20:00,2020-12-23 20:00:00,,0.0,-44.0,-46.4,-85.48499999999989,12.0,-670.4399999999997
24713,2020-12-23 00:00:00,08:00,2020-12-23 08:00:00,29.0,0.0,-39.4,-41.1,-85.48499999999989,12.0,-670.4399999999997
24713,2020-12-22 00:00:00,20:00,2020-12-22 20:00:00,,0.0,-34.0,-35.6,-57.42750000000015,11.0,-584.9549999999998
24713,2020-12-22 00:00:00,08:00,2020-12-22 08:00:00,30.0,0.0,-40.1,-41.6,-57.42750000000015,11.0,-584.9549999999998
24713,2020-12-21 00:00:00,20:00,2020-12-21 20:00:00,,0.0,-41.6,-43.2,-63.08749999999999,10.0,-527.5274999999997
24713,2020-12-21 00:00:00,08:00,2020-12-21 08:00:00,30.0,0.0,-30.5,-32.4,-63.08749999999999,10.0,-527.5274999999997
24713,2020-12-20 00:00:00,20:00,2020-12-20 20:00:00,,0.4,-22.5,-24.3,-26.400000000000063,9.0,-464.4399999999997
24713,2020-12-20 00:00:00,08:00,2020-12-20 08:00:00,29.0,1.0,-21.5,-22.1,-26.400000000000063,9.0,-464.4399999999997
24713,2020-12-19 00:00:00,20:00,2020-12-19 20:00:00,,1.0,-22.5,-23.7,-26.21999999999991,8.0,-438.0399999999997
24713,2020-12-19 00:00:00,08:00,2020-12-19 08:00:00,27.0,0.8,-21.2,-22.4,-26.21999999999991,8.0,-438.0399999999997
24713,2020-12-18 00:00:00,20:00,2020-12-18 20:00:00,,0.0,-38.2,-39.7,-60.99250000000017,7.0,-411.81999999999977
24713,2020-12-18 00:00:00,08:00,2020-12-18 08:00:00,27.0,0.0,-40.5,-42.1,-60.99250000000017,7.0,-411.81999999999977
24713,2020-12-17 00:00:00,20:00,2020-12-17 20:00:00,,0.0,-35.2,-36.8,-56.26999999999986,6.0,-350.8274999999996
24713,2020-12-17 00:00:00,08:00,2020-12-17 08:00:00,27.0,0.0,-31.0,-32.8,-56.26999999999986,6.0,-350.8274999999996
24713,2020-12-16 00:00:00,20:00,2020-12-16 20:00:00,,0.0,-31.7,-33.5,-56.67749999999995,5.0,-294.5574999999997
24713,2020-12-16 00:00:00,08:00,2020-12-16 08:00:00,25.0,0.6,-37.0,-38.5,-56.67749999999995,5.0,-294.5574999999997
24713,2020-12-15 00:00:00,20:00,2020-12-15 20:00:00,,2.0,-23.1,-24.4,-41.925,4.0,-237.87999999999977
24713,2020-12-15 00:00:00,08:00,2020-12-15 08:00:00,24.0,0.0,-32.8,-34.5,-41.925,4.0,-237.87999999999977
24713,2020-12-14 00:00:00,20:00,2020-12-14 20:00:00,,0.0,-27.1,-28.8,-41.03499999999998,3.0,-195.95499999999976
24713,2020-12-14 00:00:00,08:00,2020-12-14 08:00:00,24.0,0.0,-29.5,-30.7,-41.03499999999998,3.0,-195.95499999999976
24713,2020-12-13 00:00:00,20:00,2020-12-13 20:00:00,,0.0,-39.0,-40.6,-69.91999999999976,2.0,-154.91999999999976
24713,2020-12-13 00:00:00,08:00,2020-12-13 08:00:00,24.0,0.0,-48.4,-50.0,-69.91999999999976,2.0,-154.91999999999976
24713,2020-12-12 00:00:00,20:00,2020-12-12 20:00:00,,0.0,-48.5,-50.0,-85.4875,1.0,-85.0
24713,2020-12-12 00:00:00,08:00,2020-12-12 08:00:00,24.0,0.0,-49.2,-51.2,-85.4875,1.0,-85.0
24713,2020-11-12 00:00:00,20:00,2020-11-12 20:00:00,,0.0,-47.8,-50.0,-99.54000000000006,5.0,182.15499999999992
24713,2020-11-12 00:00:00,08:00,2020-11-12 08:00:00,24.0,0.0,-47.0,-49.0,-99.54000000000006,5.0,182.15499999999992
24713,2020-10-12 00:00:00,20:00,2020-10-12 20:00:00,,0.0,-40.6,-42.1,-62.56000000000006,7.0,262.66999999999996
24713,2020-10-12 00:00:00,08:00,2020-10-12 08:00:00,24.0,0.0,-37.6,-39.3,-62.56000000000006,7.0,262.66999999999996
24713,2020-09-12 00:00:00,20:00,2020-09-12 20:00:00,,0.0,-32.6,-34.2,-53.51999999999981,3.0,-61.13499999999981
24713,2020-09-12 00:00:00,08:00,2020-09-12 08:00:00,24.0,0.0,-34.3,-35.9,-53.51999999999981,3.0,-61.13499999999981
24713,2020-08-12 00:00:00,20:00,2020-08-12 20:00:00,,0.0,-25.5,-26.7,-29.399999999999984,16.0,716.075
24713,2020-08-12 00:00:00,08:00,2020-08-12 08:00:00,25.0,1.0,-23.5,-24.7,-29.399999999999984,16.0,716.075
24713,2020-07-12 00:00:00,20:00,2020-07-12 20:00:00,,0.3,-24.8,-26.0,-19.035000000000043,2.0,-19.785000000000043
24713,2020-07-12 00:00:00,08:00,2020-07-12 08:00:00,24.0,0.0,-17.5,-18.1,-19.035000000000043,2.0,-19.785000000000043
24713,2020-06-12 00:00:00,20:00,2020-06-12 20:00:00,,0.0,-11.5,-15.9,-35.84000000000001,3.0,-24.574999999999957
24713,2020-06-12 00:00:00,08:00,2020-06-12 08:00:00,24.0,1.0,-10.9,-12.9,-35.84000000000001,3.0,-24.574999999999957
24713,2020-05-12 00:00:00,20:00,2020-05-12 20:00:00,,0.8,-14.0,-16.0,-24.700000000000014,45.0,554.4124999999997
