id_station,date,time,datetime,sss,RRR,T,Td,t(t-r),n,kp
29594,2020-12-31 00:00:00,23:00,2020-12-31 23:00:00,,,-26.2,-30.1,-105.40374999999999,6.0,-944.6564062499999
29594,2020-12-31 00:00:00,20:00,2020-12-31 20:00:00,,0.0,-27.1,-30.2,-105.40374999999999,6.0,-944.6564062499999
29594,2020-12-31 00:00:00,17:00,2020-12-31 17:00:00,,,-26.5,-30.4,-105.40374999999999,6.0,-944.6564062499999
29594,2020-12-31 00:00:00,14:00,2020-12-31 14:00:00,,,-26.8,-30.8,-105.40374999999999,6.0,-944.6564062499999
29594,2020-12-31 00:00:00,11:00,2020-12-31 11:00:00,,,-29.9,-33.6,-105.40374999999999,6.0,-944.6564062499999
29594,2020-12-31 00:00:00,08:00,2020-12-31 08:00:00,17.0,0.0,-30.6,-34.3,-105.40374999999999,6.0,-944.6564062499999
29594,2020-12-31 00:00:00,05:00,2020-12-31 05:00:00,,,-30.3,-34.0,-105.40374999999999,6.0,-944.6564062499999
29594,2020-12-31 00:00:00,02:00,2020-12-31 02:00:00,,,-30.5,-34.1,-105.40374999999999,6.0,-944.6564062499999
29594,2020-12-30 00:00:00,23:00,2020-12-30 23:00:00,,,-29.6,-33.3,-124.01937499999998,5.0,-839.25265625
29594,2020-12-30 00:00:00,20:00,2020-12-30 20:00:00,,0.0,-28.6,-32.1,-124.01937499999998,5.0,-839.25265625
29594,2020-12-30 00:00:00,17:00,2020-12-30 17:00:00,,,-26.4,-31.0,-124.01937499999998,5.0,-839.25265625
29594,2020-12-30 00:00:00,14:00,2020-12-30 14:00:00,,,-26.7,-32.3,-124.01937499999998,5.0,-839.25265625
29594,2020-12-30 00:00:00,11:00,2020-12-30 11:00:00,,,-29.6,-34.0,-124.01937499999998,5.0,-839.25265625
29594,2020-12-30 00:00:00,08:00,2020-12-30 08:00:00,17.0,0.0,-29.4,-33.6,-124.01937499999998,5.0,-839.25265625
29594,2020-12-30 00:00:00,05:00,2020-12-30 05:00:00,,,-29.8,-34.2,-124.01937499999998,5.0,-839.25265625
29594,2020-12-30 00:00:00,02:00,2020-12-30 02:00:00,,,-29.3,-33.5,-124.01937499999998,5.0,-839.25265625
29594,2020-12-29 00:00:00,23:00,2020-12-29 23:00:00,,,-29.6,-33.7,-165.89546874999996,4.0,-715.23328125
29594,2020-12-29 00:00:00,20:00,2020-12-29 20:00:00,,0.0,-31.5,-35.1,-165.89546874999996,4.0,-715.23328125
29594,2020-12-29 00:00:00,17:00,2020-12-29 17:00:00,,,-31.9,-36.5,-165.89546874999996,4.0,-715.23328125
