id_station,date,time,datetime,sss,RRR,T,Td,t(t-r),n,kp
30437,2020-12-31 00:00:00,14:00,2020-12-31 14:00:00,,,-38.5,-41.4,-116.05999999999989,22.0,-1525.3092519132642
30437,2020-12-31 00:00:00,11:00,2020-12-31 11:00:00,,,-42.0,-45.0,-116.05999999999989,22.0,-1525.3092519132642
30437,2020-12-31 00:00:00,05:00,2020-12-31 05:00:00,,,-42.8,-45.6,-116.05999999999989,22.0,-1525.3092519132642
30437,2020-12-31 00:00:00,02:00,2020-12-31 02:00:00,,,-42.5,-45.0,-116.05999999999989,22.0,-1525.3092519132642
30437,2020-12-30 00:00:00,23:00,2020-12-30 23:00:00,,,-40.1,-42.8,-111.94399999999962,21.0,-1409.2492519132643
30437,2020-12-30 00:00:00,17:00,2020-12-30 17:00:00,,,-36.0,-39.0,-111.94399999999962,21.0,-1409.2492519132643
30437,2020-12-30 00:00:00,11:00,2020-12-30 11:00:00,,,-41.3,-43.8,-111.94399999999962,21.0,-1409.2492519132643
30437,2020-12-30 00:00:00,05:00,2020-12-30 05:00:00,,,-42.0,-45.0,-111.94399999999962,21.0,-1409.2492519132643
30437,2020-12-30 00:00:00,02:00,2020-12-30 02:00:00,,,-40.5,-43.3,-111.94399999999962,21.0,-1409.2492519132643
30437,2020-12-29 00:00:00,20:00,2020-12-29 20:00:00,,0.0,-35.2,-38.0,-102.6674999999999,20.0,-1297.3052519132648
30437,2020-12-29 00:00:00,08:00,2020-12-29 08:00:00,31.0,0.2,-34.4,-37.4,-102.6674999999999,20.0,-1297.3052519132648
30437,2020-12-29 00:00:00,05:00,2020-12-29 05:00:00,,,-34.7,-37.7,-102.6674999999999,20.0,-1297.3052519132648
30437,2020-12-29 00:00:00,02:00,2020-12-29 02:00:00,,,-36.1,-39.0,-102.6674999999999,20.0,-1297.3052519132648
30437,2020-12-28 00:00:00,23:00,2020-12-28 23:00:00,,,-36.6,-39.4,-103.40859375000011,19.0,-1194.6377519132648
30437,2020-12-28 00:00:00,20:00,2020-12-28 20:00:00,,0.0,-37.5,-40.5,-103.40859375000011,19.0,-1194.6377519132648
30437,2020-12-28 00:00:00,17:00,2020-12-28 17:00:00,,,-33.5,-36.6,-103.40859375000011,19.0,-1194.6377519132648
30437,2020-12-28 00:00:00,14:00,2020-12-28 14:00:00,,,-34.8,-37.7,-103.40859375000011,19.0,-1194.6377519132648
30437,2020-12-28 00:00:00,11:00,2020-12-28 11:00:00,,,-38.6,-41.4,-103.40859375000011,19.0,-1194.6377519132648
30437,2020-12-28 00:00:00,08:00,2020-12-28 08:00:00,31.0,0.2,-37.4,-40.1,-103.40859375000011,19.0,-1194.6377519132648
30437,2020-12-28 00:00:00,05:00,2020-12-28 05:00:00,,,-34.0,-36.8,-103.40859375000011,19.0,-1194.6377519132648
30437,2020-12-28 00:00:00,02:00,2020-12-28 02:00:00,,,-34.1,-37.1,-103.40859375000011,19.0,-1194.6377519132648
30437,2020-12-27 00:00:00,23:00,2020-12-27 23:00:00,,,-35.0,-38.0,-96.86218749999986,18.0,-1091.2291581632646
30437,2020-12-27 00:00:00,20:00,2020-12-27 20:00:00,,0.2,-32.8,-35.8,-96.86218749999986,18.0,-1091.2291581632646
30437,2020-12-27 00:00:00,17:00,2020-12-27 17:00:00,,,-32.6,-35.5,-96.86218749999986,18.0,-1091.2291581632646
30437,2020-12-27 00:00:00,14:00,2020-12-27 14:00:00,,,-34.4,-37.4,-96.86218749999986,18.0,-1091.2291581632646
30437,2020-12-27 00:00:00,11:00,2020-12-27 11:00:00,,,-38.8,-41.8,-96.86218749999986,18.0,-1091.2291581632646
