id_station,date,time,datetime,sss,RRR,T,Td,t(t-r),n,kp
30627,2020-12-31 00:00:00,23:00,2020-12-31 23:00:00,,,-31.6,-35.2,-123.72562499999995,22.0,-1622.1045982142855
30627,2020-12-31 00:00:00,20:00,2020-12-31 20:00:00,,0.0,-29.8,-33.3,-123.72562499999995,22.0,-1622.1045982142855
30627,2020-12-31 00:00:00,17:00,2020-12-31 17:00:00,,,-30.8,-34.5,-123.72562499999995,22.0,-1622.1045982142855
30627,2020-12-31 00:00:00,14:00,2020-12-31 14:00:00,,,-31.8,-35.7,-123.72562499999995,22.0,-1622.1045982142855
30627,2020-12-31 00:00:00,11:00,2020-12-31 11:00:00,,,-34.8,-38.8,-123.72562499999995,22.0,-1622.1045982142855
30627,2020-12-31 00:00:00,08:00,2020-12-31 08:00:00,14.0,0.0,-35.4,-39.3,-123.72562499999995,22.0,-1622.1045982142855
30627,2020-12-31 00:00:00,05:00,2020-12-31 05:00:00,,,-34.4,-38.2,-123.72562499999995,22.0,-1622.1045982142855
30627,2020-12-31 00:00:00,02:00,2020-12-31 02:00:00,,,-33.6,-37.4,-123.72562499999995,22.0,-1622.1045982142855
30627,2020-12-30 00:00:00,23:00,2020-12-30 23:00:00,,,-32.8,-36.6,-134.91428571428594,21.0,-1498.3789732142855
30627,2020-12-30 00:00:00,20:00,2020-12-30 20:00:00,,0.0,-31.5,-35.3,-134.91428571428594,21.0,-1498.3789732142855
30627,2020-12-30 00:00:00,17:00,2020-12-30 17:00:00,,,-31.7,-35.9,-134.91428571428594,21.0,-1498.3789732142855
30627,2020-12-30 00:00:00,14:00,2020-12-30 14:00:00,,,-32.6,-36.9,-134.91428571428594,21.0,-1498.3789732142855
30627,2020-12-30 00:00:00,11:00,2020-12-30 11:00:00,,,-35.9,-40.1,-134.91428571428594,21.0,-1498.3789732142855
30627,2020-12-30 00:00:00,08:00,2020-12-30 08:00:00,14.0,0.0,-36.4,-40.4,-134.91428571428594,21.0,-1498.3789732142855
30627,2020-12-30 00:00:00,05:00,2020-12-30 05:00:00,,,-35.2,-38.9,-134.91428571428594,21.0,-1498.3789732142855
30627,2020-12-29 00:00:00,23:00,2020-12-29 23:00:00,,,-33.9,-38.2,-155.45562499999986,20.0,-1363.4646874999996
30627,2020-12-29 00:00:00,20:00,2020-12-29 20:00:00,,0.0,-33.4,-37.8,-155.45562499999986,20.0,-1363.4646874999996
30627,2020-12-29 00:00:00,17:00,2020-12-29 17:00:00,,,-33.4,-38.3,-155.45562499999986,20.0,-1363.4646874999996
30627,2020-12-29 00:00:00,14:00,2020-12-29 14:00:00,,,-32.6,-38.3,-155.45562499999986,20.0,-1363.4646874999996
30627,2020-12-29 00:00:00,11:00,2020-12-29 11:00:00,,,-34.4,-38.6,-155.45562499999986,20.0,-1363.4646874999996
30627,2020-12-29 00:00:00,08:00,2020-12-29 08:00:00,14.0,0.0,-36.1,-40.2,-155.45562499999986,20.0,-1363.4646874999996
30627,2020-12-29 00:00:00,05:00,2020-12-29 05:00:00,,,-36.9,-41.1,-155.45562499999986,20.0,-1363.4646874999996
30627,2020-12-29 00:00:00,02:00,2020-12-29 02:00:00,,,-34.9,-39.2,-155.45562499999986,20.0,-1363.4646874999996
30627,2020-12-28 00:00:00,23:00,2020-12-28 23:00:00,,,-35.3,-39.3,-159.59531249999998,19.0,-1208.0090624999998
30627,2020-12-28 00:00:00,20:00,2020-12-28 20:00:00,,0.2,-34.1,-38.0,-159.59531249999998,19.0,-1208.0090624999998
30627,2020-12-28 00:00:00,17:00,2020-12-28 17:00:00,,,-31.4,-36.1,-159.59531249999998,19.0,-1208.0090624999998
