id_station,date,time,datetime,sss,RRR,T,Td,t(t-r),n,kp
30617,2020-12-31 00:00:00,20:00,2020-12-31 20:00:00,,0.0,-27.9,-31.4,-102.53120000000004,22.0,-1385.5284877692748
30617,2020-12-31 00:00:00,14:00,2020-12-31 14:00:00,,,-25.3,-29.4,-102.53120000000004,22.0,-1385.5284877692748
30617,2020-12-31 00:00:00,11:00,2020-12-31 11:00:00,,,-29.2,-32.6,-102.53120000000004,22.0,-1385.5284877692748
30617,2020-12-31 00:00:00,05:00,2020-12-31 05:00:00,,,-30.2,-33.6,-102.53120000000004,22.0,-1385.5284877692748
30617,2020-12-31 00:00:00,02:00,2020-12-31 02:00:00,,,-30.6,-34.1,-102.53120000000004,22.0,-1385.5284877692748
30617,2020-12-30 00:00:00,23:00,2020-12-30 23:00:00,,,-28.0,-31.3,-112.09836734693882,21.0,-1282.9972877692746
30617,2020-12-30 00:00:00,20:00,2020-12-30 20:00:00,,0.0,-28.6,-31.9,-112.09836734693882,21.0,-1282.9972877692746
30617,2020-12-30 00:00:00,17:00,2020-12-30 17:00:00,,,-27.4,-31.8,-112.09836734693882,21.0,-1282.9972877692746
30617,2020-12-30 00:00:00,11:00,2020-12-30 11:00:00,,,-30.5,-34.1,-112.09836734693882,21.0,-1282.9972877692746
30617,2020-12-30 00:00:00,08:00,2020-12-30 08:00:00,13.0,0.0,-32.7,-36.4,-112.09836734693882,21.0,-1282.9972877692746
30617,2020-12-30 00:00:00,05:00,2020-12-30 05:00:00,,,-32.7,-36.4,-112.09836734693882,21.0,-1282.9972877692746
30617,2020-12-30 00:00:00,02:00,2020-12-30 02:00:00,,,-33.0,-36.8,-112.09836734693882,21.0,-1282.9972877692746
30617,2020-12-29 00:00:00,23:00,2020-12-29 23:00:00,,,-33.2,-37.0,-134.35499999999996,20.0,-1170.8989204223358
30617,2020-12-29 00:00:00,20:00,2020-12-29 20:00:00,,0.0,-32.7,-36.3,-134.35499999999996,20.0,-1170.8989204223358
30617,2020-12-29 00:00:00,11:00,2020-12-29 11:00:00,,,-34.2,-38.2,-134.35499999999996,20.0,-1170.8989204223358
30617,2020-12-29 00:00:00,08:00,2020-12-29 08:00:00,13.0,0.0,-35.7,-39.7,-134.35499999999996,20.0,-1170.8989204223358
30617,2020-12-29 00:00:00,05:00,2020-12-29 05:00:00,,,-35.5,-39.5,-134.35499999999996,20.0,-1170.8989204223358
30617,2020-12-29 00:00:00,02:00,2020-12-29 02:00:00,,,-35.4,-39.4,-134.35499999999996,20.0,-1170.8989204223358
30617,2020-12-28 00:00:00,23:00,2020-12-28 23:00:00,,,-35.2,-39.1,-139.31937500000006,19.0,-1036.5439204223358
30617,2020-12-28 00:00:00,20:00,2020-12-28 20:00:00,,0.3,-33.0,-36.7,-139.31937500000006,19.0,-1036.5439204223358
30617,2020-12-28 00:00:00,17:00,2020-12-28 17:00:00,,,-31.2,-35.4,-139.31937500000006,19.0,-1036.5439204223358
30617,2020-12-28 00:00:00,14:00,2020-12-28 14:00:00,,,-31.1,-36.0,-139.31937500000006,19.0,-1036.5439204223358
30617,2020-12-28 00:00:00,11:00,2020-12-28 11:00:00,,,-33.0,-37.3,-139.31937500000006,19.0,-1036.5439204223358
30617,2020-12-28 00:00:00,08:00,2020-12-28 08:00:00,12.0,0.0,-33.5,-37.6,-139.31937500000006,19.0,-1036.5439204223358
30617,2020-12-28 00:00:00,05:00,2020-12-28 05:00:00,,,-33.6,-37.9,-139.31937500000006,19.0,-1036.5439204223358
30617,2020-12-28 00:00:00,02:00,2020-12-28 02:00:00,,,-33.2,-37.6,-139.31937500000006,19.0,-1036.5439204223358
30617,2020-12-27 00:00:00,23:00,2020-12-27 23:00:00,,,-32.1,-36.4,-122.28249999999993,18.0,-897.2245454223356
30617,2020-12-27 00:00:00,20:00,2020-12-27 20:00:00,,0.2,-30.9,-35.2,-122.28249999999993,18.0,-897.2245454223356
30617,2020-12-27 00:00:00,17:00,2020-12-27 17:00:00,,,-30.1,-34.8,-122.28249999999993,18.0,-897.2245454223356
30617,2020-12-27 00:00:00,14:00,2020-12-27 14:00:00,,,-29.3,-34.3,-122.28249999999993,18.0,-897.2245454223356
30617,2020-12-27 00:00:00,11:00,2020-12-27 11:00:00,,,-30.4,-34.1,-122.28249999999993,18.0,-897.2245454223356
30617,2020-12-27 00:00:00,08:00,2020-12-27 08:00:00,12.0,0.2,-30.5,-34.6,-122.28249999999993,18.0,-897.2245454223356
30617,2020-12-27 00:00:00,05:00,2020-12-27 05:00:00,,,-28.0,-31.8,-122.28249999999993,18.0,-897.2245454223356
30617,2020-12-27 00:00:00,02:00,2020-12-27 02:00:00,,,-27.3,-30.2,-122.28249999999993,18.0,-897.2245454223356
30617,2020-12-26 00:00:00,23:00,2020-12-26 23:00:00,,,-25.1,-28.7,-85.7109375,17.0,-774.9420454223357
30617,2020-12-26 00:00:00,20:00,2020-12-26 20:00:00,,0.0,-25.5,-28.3,-85.7109375,17.0,-774.9420454223357
30617,2020-12-26 00:00:00,17:00,2020-12-26 17:00:00,,,-22.7,-27.8,-85.7109375,17.0,-774.9420454223357
30617,2020-12-26 00:00:00,14:00,2020-12-26 14:00:00,,,-20.5,-26.8,-85.7109375,17.0,-774.9420454223357
30617,2020-12-26 00:00:00,11:00,2020-12-26 11:00:00,,,-19.3,-25.7,-85.7109375,17.0,-774.9420454223357
30617,2020-12-26 00:00:00,08:00,2020-12-26 08:00:00,12.0,0.6,-18.2,-24.3,-85.7109375,17.0,-774.9420454223357
30617,2020-12-26 00:00:00,05:00,2020-12-26 05:00:00,,,-13.7,-16.2,-85.7109375,17.0,-774.9420454223357
30617,2020-12-26 00:00:00,02:00,2020-12-26 02:00:00,,,-14.0,-15.7,-85.7109375,17.0,-774.9420454223357
30617,2020-12-25 00:00:00,20:00,2020-12-25 20:00:00,,0.0,-13.2,-14.8,-36.51111111111111,16.0,-689.2311079223357
30617,2020-12-25 00:00:00,14:00,2020-12-25 14:00:00,,,-15.4,-17.3,-36.51111111111111,16.0,-689.2311079223357
30617,2020-12-25 00:00:00,11:00,2020-12-25 11:00:00,,,-19.0,-21.2,-36.51111111111111,16.0,-689.2311079223357
30617,2020-12-25 00:00:00,08:00,2020-12-25 08:00:00,12.0,0.2,-20.8,-23.0,-36.51111111111111,16.0,-689.2311079223357
30617,2020-12-25 00:00:00,05:00,2020-12-25 05:00:00,,,-19.7,-22.1,-36.51111111111111,16.0,-689.2311079223357
30617,2020-12-25 00:00:00,02:00,2020-12-25 02:00:00,,,-17.9,-20.0,-36.51111111111111,16.0,-689.2311079223357
30617,2020-12-24 00:00:00,23:00,2020-12-24 23:00:00,,,-18.0,-20.1,-45.97125000000002,15.0,-652.7199968112246
30617,2020-12-24 00:00:00,20:00,2020-12-24 20:00:00,,0.0,-18.6,-20.7,-45.97125000000002,15.0,-652.7199968112246
30617,2020-12-24 00:00:00,17:00,2020-12-24 17:00:00,,,-18.9,-21.1,-45.97125000000002,15.0,-652.7199968112246
30617,2020-12-24 00:00:00,14:00,2020-12-24 14:00:00,,,-18.4,-20.6,-45.97125000000002,15.0,-652.7199968112246
30617,2020-12-24 00:00:00,11:00,2020-12-24 11:00:00,,,-20.4,-22.8,-45.97125000000002,15.0,-652.7199968112246
30617,2020-12-24 00:00:00,08:00,2020-12-24 08:00:00,12.0,0.2,-24.1,-26.8,-45.97125000000002,15.0,-652.7199968112246
30617,2020-12-24 00:00:00,05:00,2020-12-24 05:00:00,,,-20.9,-23.3,-45.97125000000002,15.0,-652.7199968112246
30617,2020-12-24 00:00:00,02:00,2020-12-24 02:00:00,,,-20.6,-22.9,-45.97125000000002,15.0,-652.7199968112246
30617,2020-12-23 00:00:00,23:00,2020-12-23 23:00:00,,,-20.7,-23.0,-39.948979591836725,14.0,-606.7487468112246
30617,2020-12-23 00:00:00,20:00,2020-12-23 20:00:00,,0.0,-17.3,-19.3,-39.948979591836725,14.0,-606.7487468112246
30617,2020-12-23 00:00:00,17:00,2020-12-23 17:00:00,,,-17.4,-19.4,-39.948979591836725,14.0,-606.7487468112246
30617,2020-12-23 00:00:00,11:00,2020-12-23 11:00:00,,,-18.9,-21.0,-39.948979591836725,14.0,-606.7487468112246
30617,2020-12-23 00:00:00,08:00,2020-12-23 08:00:00,12.0,0.0,-20.4,-22.8,-39.948979591836725,14.0,-606.7487468112246
30617,2020-12-23 00:00:00,05:00,2020-12-23 05:00:00,,,-18.4,-20.6,-39.948979591836725,14.0,-606.7487468112246
30617,2020-12-23 00:00:00,02:00,2020-12-23 02:00:00,,,-17.4,-19.4,-39.948979591836725,14.0,-606.7487468112246
30617,2020-12-22 00:00:00,23:00,2020-12-22 23:00:00,,,-15.8,-17.6,-21.52562500000001,13.0,-566.7997672193878
30617,2020-12-22 00:00:00,20:00,2020-12-22 20:00:00,,0.0,-13.8,-15.4,-21.52562500000001,13.0,-566.7997672193878
30617,2020-12-22 00:00:00,17:00,2020-12-22 17:00:00,,,-12.7,-14.2,-21.52562500000001,13.0,-566.7997672193878
30617,2020-12-22 00:00:00,14:00,2020-12-22 14:00:00,,,-12.2,-13.7,-21.52562500000001,13.0,-566.7997672193878
30617,2020-12-22 00:00:00,11:00,2020-12-22 11:00:00,,,-14.9,-16.6,-21.52562500000001,13.0,-566.7997672193878
30617,2020-12-22 00:00:00,08:00,2020-12-22 08:00:00,12.0,0.0,-14.0,-15.6,-21.52562500000001,13.0,-566.7997672193878
30617,2020-12-22 00:00:00,05:00,2020-12-22 05:00:00,,,-13.5,-14.9,-21.52562500000001,13.0,-566.7997672193878
30617,2020-12-22 00:00:00,02:00,2020-12-22 02:00:00,,,-14.2,-15.5,-21.52562500000001,13.0,-566.7997672193878
30617,2020-12-21 00:00:00,23:00,2020-12-21 23:00:00,,,-9.2,-11.7,-34.3425,12.0,-545.2741422193878
30617,2020-12-21 00:00:00,20:00,2020-12-21 20:00:00,,0.0,-10.8,-13.9,-34.3425,12.0,-545.2741422193878
30617,2020-12-21 00:00:00,17:00,2020-12-21 17:00:00,,,-10.0,-14.3,-34.3425,12.0,-545.2741422193878
30617,2020-12-21 00:00:00,14:00,2020-12-21 14:00:00,,,-10.4,-14.2,-34.3425,12.0,-545.2741422193878
30617,2020-12-21 00:00:00,11:00,2020-12-21 11:00:00,,,-12.5,-15.2,-34.3425,12.0,-545.2741422193878
30617,2020-12-21 00:00:00,08:00,2020-12-21 08:00:00,12.0,0.0,-14.9,-16.8,-34.3425,12.0,-545.2741422193878
30617,2020-12-21 00:00:00,05:00,2020-12-21 05:00:00,,,-14.0,-16.2,-34.3425,12.0,-545.2741422193878
30617,2020-12-21 00:00:00,02:00,2020-12-21 02:00:00,,,-14.6,-16.9,-34.3425,12.0,-545.2741422193878
30617,2020-12-20 00:00:00,23:00,2020-12-20 23:00:00,,,-11.4,-15.2,-50.8125,11.0,-510.93164221938787
30617,2020-12-20 00:00:00,20:00,2020-12-20 20:00:00,,0.0,-11.3,-14.4,-50.8125,11.0,-510.93164221938787
30617,2020-12-20 00:00:00,17:00,2020-12-20 17:00:00,,,-10.9,-14.9,-50.8125,11.0,-510.93164221938787
30617,2020-12-20 00:00:00,14:00,2020-12-20 14:00:00,,,-5.5,-12.7,-50.8125,11.0,-510.93164221938787
30617,2020-12-20 00:00:00,11:00,2020-12-20 11:00:00,,,-12.7,-15.5,-50.8125,11.0,-510.93164221938787
30617,2020-12-20 00:00:00,08:00,2020-12-20 08:00:00,12.0,0.0,-13.9,-17.0,-50.8125,11.0,-510.93164221938787
30617,2020-12-20 00:00:00,05:00,2020-12-20 05:00:00,,,-7.8,-16.0,-50.8125,11.0,-510.93164221938787
30617,2020-12-20 00:00:00,02:00,2020-12-20 02:00:00,,,-7.8,-15.6,-50.8125,11.0,-510.93164221938787
30617,2020-12-19 00:00:00,23:00,2020-12-19 23:00:00,,,-8.1,-15.6,-56.27250000000001,10.0,-460.11914221938787
30617,2020-12-19 00:00:00,20:00,2020-12-19 20:00:00,,0.0,-12.1,-16.2,-56.27250000000001,10.0,-460.11914221938787
30617,2020-12-19 00:00:00,17:00,2020-12-19 17:00:00,,,-10.9,-15.6,-56.27250000000001,10.0,-460.11914221938787
30617,2020-12-19 00:00:00,14:00,2020-12-19 14:00:00,,,-7.1,-14.8,-56.27250000000001,10.0,-460.11914221938787
30617,2020-12-19 00:00:00,11:00,2020-12-19 11:00:00,,,-13.6,-17.1,-56.27250000000001,10.0,-460.11914221938787
30617,2020-12-19 00:00:00,08:00,2020-12-19 08:00:00,12.0,0.0,-18.2,-20.6,-56.27250000000001,10.0,-460.11914221938787
30617,2020-12-19 00:00:00,05:00,2020-12-19 05:00:00,,,-15.3,-18.2,-56.27250000000001,10.0,-460.11914221938787
30617,2020-12-19 00:00:00,02:00,2020-12-19 02:00:00,,,-12.3,-16.4,-56.27250000000001,10.0,-460.11914221938787
30617,2020-12-18 00:00:00,23:00,2020-12-18 23:00:00,,,-13.2,-17.1,-54.337500000000006,9.0,-403.84664221938783
30617,2020-12-18 00:00:00,20:00,2020-12-18 20:00:00,,0.0,-14.5,-17.6,-54.337500000000006,9.0,-403.84664221938783
30617,2020-12-18 00:00:00,17:00,2020-12-18 17:00:00,,,-14.4,-17.7,-54.337500000000006,9.0,-403.84664221938783
30617,2020-12-18 00:00:00,14:00,2020-12-18 14:00:00,,,-12.6,-17.7,-54.337500000000006,9.0,-403.84664221938783
30617,2020-12-18 00:00:00,11:00,2020-12-18 11:00:00,,,-16.8,-19.7,-54.337500000000006,9.0,-403.84664221938783
30617,2020-12-18 00:00:00,08:00,2020-12-18 08:00:00,12.0,0.0,-18.3,-21.0,-54.337500000000006,9.0,-403.84664221938783
30617,2020-12-18 00:00:00,05:00,2020-12-18 05:00:00,,,-18.9,-21.7,-54.337500000000006,9.0,-403.84664221938783
30617,2020-12-18 00:00:00,02:00,2020-12-18 02:00:00,,,-20.1,-23.3,-54.337500000000006,9.0,-403.84664221938783
30617,2020-12-17 00:00:00,23:00,2020-12-17 23:00:00,,,-20.2,-23.5,-71.91843750000002,8.0,-349.5091422193878
30617,2020-12-17 00:00:00,20:00,2020-12-17 20:00:00,,0.0,-20.0,-23.9,-71.91843750000002,8.0,-349.5091422193878
30617,2020-12-17 00:00:00,17:00,2020-12-17 17:00:00,,,-21.3,-25.3,-71.91843750000002,8.0,-349.5091422193878
30617,2020-12-17 00:00:00,14:00,2020-12-17 14:00:00,,,-17.9,-22.4,-71.91843750000002,8.0,-349.5091422193878
30617,2020-12-17 00:00:00,11:00,2020-12-17 11:00:00,,,-23.2,-26.2,-71.91843750000002,8.0,-349.5091422193878
30617,2020-12-17 00:00:00,08:00,2020-12-17 08:00:00,,0.0,-22.0,-24.4,-71.91843750000002,8.0,-349.5091422193878
30617,2020-12-17 00:00:00,05:00,2020-12-17 05:00:00,,,-22.0,-25.0,-71.91843750000002,8.0,-349.5091422193878
30617,2020-12-17 00:00:00,02:00,2020-12-17 02:00:00,,,-22.0,-25.2,-71.91843750000002,8.0,-349.5091422193878
30617,2020-12-16 00:00:00,23:00,2020-12-16 23:00:00,,,-17.2,-22.3,-45.810625000000016,7.0,-277.59070471938776
30617,2020-12-16 00:00:00,20:00,2020-12-16 20:00:00,,0.2,-13.8,-19.2,-45.810625000000016,7.0,-277.59070471938776
30617,2020-12-16 00:00:00,17:00,2020-12-16 17:00:00,,,-11.4,-15.1,-45.810625000000016,7.0,-277.59070471938776
30617,2020-12-16 00:00:00,14:00,2020-12-16 14:00:00,,,-9.4,-14.2,-45.810625000000016,7.0,-277.59070471938776
30617,2020-12-16 00:00:00,11:00,2020-12-16 11:00:00,,,-11.5,-13.3,-45.810625000000016,7.0,-277.59070471938776
30617,2020-12-16 00:00:00,08:00,2020-12-16 08:00:00,12.0,0.0,-12.9,-15.4,-45.810625000000016,7.0,-277.59070471938776
30617,2020-12-16 00:00:00,05:00,2020-12-16 05:00:00,,,-14.1,-16.0,-45.810625000000016,7.0,-277.59070471938776
30617,2020-12-16 00:00:00,02:00,2020-12-16 02:00:00,,,-13.3,-16.4,-45.810625000000016,7.0,-277.59070471938776
30617,2020-12-15 00:00:00,23:00,2020-12-15 23:00:00,,,-13.8,-17.6,-53.538906250000004,6.0,-231.78007971938771
30617,2020-12-15 00:00:00,20:00,2020-12-15 20:00:00,,0.0,-14.4,-18.2,-53.538906250000004,6.0,-231.78007971938771
30617,2020-12-15 00:00:00,17:00,2020-12-15 17:00:00,,,-13.7,-18.2,-53.538906250000004,6.0,-231.78007971938771
30617,2020-12-15 00:00:00,14:00,2020-12-15 14:00:00,,,-13.5,-18.5,-53.538906250000004,6.0,-231.78007971938771
30617,2020-12-15 00:00:00,11:00,2020-12-15 11:00:00,,,-14.7,-17.6,-53.538906250000004,6.0,-231.78007971938771
30617,2020-12-15 00:00:00,08:00,2020-12-15 08:00:00,12.0,0.0,-18.1,-20.5,-53.538906250000004,6.0,-231.78007971938771
30617,2020-12-15 00:00:00,05:00,2020-12-15 05:00:00,,,-17.8,-20.4,-53.538906250000004,6.0,-231.78007971938771
30617,2020-12-15 00:00:00,02:00,2020-12-15 02:00:00,,,-17.7,-20.4,-53.538906250000004,6.0,-231.78007971938771
30617,2020-12-14 00:00:00,23:00,2020-12-14 23:00:00,,,-18.3,-21.5,-55.20625,5.0,-178.24117346938772
30617,2020-12-14 00:00:00,20:00,2020-12-14 20:00:00,,0.0,-19.6,-22.4,-55.20625,5.0,-178.24117346938772
30617,2020-12-14 00:00:00,17:00,2020-12-14 17:00:00,,,-18.3,-21.4,-55.20625,5.0,-178.24117346938772
30617,2020-12-14 00:00:00,14:00,2020-12-14 14:00:00,,,-18.3,-21.6,-55.20625,5.0,-178.24117346938772
30617,2020-12-14 00:00:00,11:00,2020-12-14 11:00:00,,,-20.2,-22.6,-55.20625,5.0,-178.24117346938772
30617,2020-12-14 00:00:00,08:00,2020-12-14 08:00:00,12.0,0.0,-21.8,-24.2,-55.20625,5.0,-178.24117346938772
30617,2020-12-14 00:00:00,05:00,2020-12-14 05:00:00,,,-21.9,-24.3,-55.20625,5.0,-178.24117346938772
30617,2020-12-14 00:00:00,02:00,2020-12-14 02:00:00,,,-22.2,-24.6,-55.20625,5.0,-178.24117346938772
30617,2020-12-13 00:00:00,23:00,2020-12-13 23:00:00,,,-22.4,-24.9,-53.23359374999998,4.0,-123.03492346938773
30617,2020-12-13 00:00:00,20:00,2020-12-13 20:00:00,,0.0,-22.9,-25.4,-53.23359374999998,4.0,-123.03492346938773
30617,2020-12-13 00:00:00,17:00,2020-12-13 17:00:00,,,-22.7,-25.1,-53.23359374999998,4.0,-123.03492346938773
30617,2020-12-13 00:00:00,14:00,2020-12-13 14:00:00,,,-17.4,-20.6,-53.23359374999998,4.0,-123.03492346938773
30617,2020-12-13 00:00:00,11:00,2020-12-13 11:00:00,,,-20.6,-23.0,-53.23359374999998,4.0,-123.03492346938773
30617,2020-12-13 00:00:00,08:00,2020-12-13 08:00:00,12.0,0.0,-21.5,-23.9,-53.23359374999998,4.0,-123.03492346938773
30617,2020-12-13 00:00:00,05:00,2020-12-13 05:00:00,,,-21.4,-23.8,-53.23359374999998,4.0,-123.03492346938773
30617,2020-12-13 00:00:00,02:00,2020-12-13 02:00:00,,,-20.6,-22.9,-53.23359374999998,4.0,-123.03492346938773
30617,2020-12-12 00:00:00,23:00,2020-12-12 23:00:00,,,-20.6,-22.9,-51.07171874999999,3.0,-69.80132971938775
30617,2020-12-12 00:00:00,20:00,2020-12-12 20:00:00,,0.0,-19.9,-22.0,-51.07171874999999,3.0,-69.80132971938775
30617,2020-12-12 00:00:00,17:00,2020-12-12 17:00:00,,,-19.6,-22.4,-51.07171874999999,3.0,-69.80132971938775
30617,2020-12-12 00:00:00,14:00,2020-12-12 14:00:00,,,-16.5,-21.5,-51.07171874999999,3.0,-69.80132971938775
30617,2020-12-12 00:00:00,11:00,2020-12-12 11:00:00,,,-16.6,-20.1,-51.07171874999999,3.0,-69.80132971938775
30617,2020-12-12 00:00:00,08:00,2020-12-12 08:00:00,12.0,0.6,-16.6,-18.5,-51.07171874999999,3.0,-69.80132971938775
30617,2020-12-12 00:00:00,05:00,2020-12-12 05:00:00,,,-17.8,-19.9,-51.07171874999999,3.0,-69.80132971938775
30617,2020-12-12 00:00:00,02:00,2020-12-12 02:00:00,,,-20.3,-22.7,-51.07171874999999,3.0,-69.80132971938775
30617,2020-11-12 00:00:00,23:00,2020-11-12 23:00:00,,,-22.5,-25.1,-59.0015625,13.0,579.7692378826532
30617,2020-11-12 00:00:00,20:00,2020-11-12 20:00:00,,0.0,-22.7,-25.2,-59.0015625,13.0,579.7692378826532
