id_station,date,t(t-r),n,kp,RRR,T,Td,sss
30627,2017-01-01 00:00:00,-20.87250000000004,0.0,0.0,0.0,-18.15,-19.3,18.0
30627,2017-01-02 00:00:00,-61.3078125,0.0,0.0,0.0,-14.8625,-18.9875,26.0
30627,2017-01-03 00:00:00,-39.965625,0.0,0.0,0.0,-7.25,-12.7625,27.0
30627,2017-01-04 00:00:00,68.26875,0.0,0.0,0.0,5.5,-6.9125,
30627,2017-01-05 00:00:00,8.888906250000002,0.0,8.888906250000002,5.0,5.5125,3.9,
30627,2017-01-06 00:00:00,76.3546875,0.0,76.3546875,4.0,11.1875,4.3625,
30627,2017-01-07 00:00:00,299.04375000000005,1.0,375.39843750000006,0.0,24.3125,12.0125,
30627,2017-01-08 00:00:00,126.43312499999996,2.0,501.8315625,0.0,19.95,13.6125,
30627,2017-01-09 00:00:00,126.10140625000004,3.0,627.9329687500001,0.0,15.9875,8.1,
30627,2017-01-10 00:00:00,-2.14328125,4.0,625.7896875000001,0.0,-0.5375,-4.525,
30627,2017-01-11 00:00:00,-45.3428125,5.0,580.4468750000001,0.0,-9.325,-14.1875,1.0
30627,2017-01-12 00:00:00,-18.12000000000001,6.0,562.3268750000001,1.0,-15.1,-16.3,4.0
30627,2017-01-13 00:00:00,-67.3359375,7.0,494.9909375000001,0.0,-27.625,-30.0625,18.0
30627,2017-01-14 00:00:00,-68.86406250000002,8.0,426.126875,0.0,-22.125,-25.2375,18.0
30627,2017-01-15 00:00:00,-43.27296875000004,9.0,382.85390625,1.0,-18.5125,-20.85,18.0
30627,2017-01-16 00:00:00,-33.989999999999974,10.0,348.86390625000007,2.0,-20.6,-22.25,20.0
30627,2017-01-17 00:00:00,-45.75999999999995,11.0,303.10390625000014,0.6,-25.6,-27.3875,22.0
30627,2017-01-18 00:00:00,-50.89500000000002,12.0,252.20890625000013,0.3,-28.275,-30.075,23.0
30627,2017-01-19 00:00:00,-46.74281249999999,13.0,205.4660937500001,0.2,-25.6125,-27.4375,23.0
30627,2017-01-20 00:00:00,-43.714687500000046,14.0,161.7514062500001,1.0,-22.275,-24.2375,23.0
30627,2017-01-21 00:00:00,-49.09250000000007,15.0,112.65890625000002,0.0,-26.9,-28.725,24.0
30627,2017-01-22 00:00:00,-51.15,16.0,61.50890625000002,0.0,-24.8,-26.8625,24.0
30627,2017-01-23 00:00:00,-57.24750000000002,17.0,4.26140625,0.0,-22.45,-25.0,24.0
30627,2017-01-24 00:00:00,-76.88624999999996,18.0,-72.62484374999997,0.0,-15.225000000000001,-20.275,24.0
30627,2017-01-25 00:00:00,-27.494999999999983,19.0,-100.11984374999994,2.0,-15.275,-17.075,24.0
30627,2017-01-26 00:00:00,-33.25874999999999,20.0,-133.37859374999994,0.0,-15.8375,-17.9375,28.0
30627,2017-01-27 00:00:00,-66.87562500000001,21.0,-200.25421874999995,0.0,-16.5125,-20.5625,29.0
30627,2017-01-28 00:00:00,-74.50937499999998,22.0,-274.7635937499999,0.0,-26.375,-29.2,28.0
30627,2017-01-29 00:00:00,-103.11500000000002,23.0,-377.87859375,0.0,-25.15,-29.25,26.0
30627,2017-01-30 00:00:00,-95.8975,24.0,-473.7760937499999,0.0,-21.55,-26.0,26.0
30627,2017-01-31 00:00:00,-48.875,25.0,-522.65109375,0.0,-17.0,-19.875,26.0
30627,2017-02-01 00:00:00,-17.025,26.0,-539.67609375,0.0,-17.025,-18.025,18.0
