"Местное время в Бодайбо";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2020 23:00";"-34.0";"757.0";"";"";"70";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 20:00";"-32.0";"757.0";"";"";"71";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 17:00";"-31.0";"757.0";"";"";"70";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 14:00";"-30.0";"757.0";"";"";"67";"Ветер, дующий с запада";"1";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 11:00";"-31.0";"757.0";"";"";"70";"Штиль, безветрие";"0";"";"";"";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 08:00";"-30.0";"756.0";"";"";"71";"Ветер, дующий с юго-запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 05:00";"-28.0";"756.0";"";"";"75";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 02:00";"-26.0";"756.0";"";"";"70";"Ветер, дующий с запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 23:00";"-26.0";"756.0";"";"";"69";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 20:00";"-25.0";"756.0";"";"";"77";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 17:00";"-24.0";"756.0";"";"";"76";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 14:00";"-23.0";"756.0";"";"";"67";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 11:00";"-24.0";"758.0";"";"";"72";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 08:00";"-25.0";"759.0";"";"";"74";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 05:00";"-25.0";"761.0";"";"";"73";"Ветер, дующий с северо-запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 02:00";"-25.0";"762.0";"";"";"70";"Ветер, дующий с запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 23:00";"-26.0";"763.0";"";"";"78";"Штиль, безветрие";"0";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 20:00";"-26.0";"765.0";"";"";"77";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 17:00";"-27.0";"766.0";"";"";"76";"Штиль, безветрие";"0";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 14:00";"-27.0";"766.0";"";"";"75";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 11:00";"-28.0";"767.0";"";"";"74";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 08:00";"-28.0";"767.0";"";"";"75";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 05:00";"-29.0";"767.0";"";"";"74";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29.12.2020 02:00";"-29.0";"767.0";"";"";"74";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 23:00";"-29.0";"767.0";"";"";"74";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 20:00";"-30.0";"767.0";"";"";"73";"Ветер, дующий с северо-востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 17:00";"-31.0";"766.0";"";"";"70";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 14:00";"-31.0";"766.0";"";"";"68";"Ветер, дующий с юга";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 11:00";"-33.0";"766.0";"";"";"69";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 08:00";"-36.0";"765.0";"";"";"67";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 05:00";"-37.0";"764.0";"";"";"66";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28.12.2020 02:00";"-38.0";"763.0";"";"";"65";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 23:00";"-36.0";"761.0";"";"";"67";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 20:00";"-34.0";"760.0";"";"";"68";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 17:00";"-34.0";"759.0";"";"";"68";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 14:00";"-35.0";"757.0";"";"";"68";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 11:00";"-37.0";"756.0";"";"";"65";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 08:00";"-37.0";"755.0";"";"";"65";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 05:00";"-37.0";"754.0";"";"";"66";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27.12.2020 02:00";"-38.0";"753.0";"";"";"65";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 23:00";"-39.0";"753.0";"";"";"64";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 20:00";"-41.0";"752.0";"";"";"62";"Штиль, безветрие";"0";"";"";"";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 17:00";"-40.0";"751.0";"";"";"63";"Ветер, дующий с востока";"1";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 14:00";"-40.0";"749.0";"";"";"62";"Ветер, дующий с востока";"2";"";"";"";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 11:00";"-44.0";"750.0";"";"";"58";"Ветер, дующий с северо-востока";"1";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 08:00";"-45.0";"749.0";"";"";"58";"Ветер, дующий с востока";"1";"";"";"";"Туман с отложением изморози, неба не видно. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 05:00";"-44.0";"749.0";"";"";"58";"Ветер, дующий с востока";"1";"";"";"";"Туман с отложением изморози, неба не видно. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26.12.2020 02:00";"-44.0";"749.0";"";"";"59";"Ветер, дующий с востока";"1";"";"";"";"Туман с отложением изморози, неба не видно. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 23:00";"-43.0";"749.0";"";"";"60";"Штиль, безветрие";"0";"";"";"";"Туман с отложением изморози, неба не видно. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 20:00";"-42.0";"748.0";"";"";"61";"Штиль, безветрие";"0";"";"";"";"Туман с отложением изморози, неба не видно. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 17:00";"-40.0";"748.0";"";"";"62";"Штиль, безветрие";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 14:00";"-38.0";"748.0";"";"";"65";"Штиль, безветрие";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 11:00";"-41.0";"748.0";"";"";"63";"Ветер, дующий с северо-востока";"1";"";"";"";"Туман или ледяной туман. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 08:00";"-40.0";"747.0";"";"";"64";"Штиль, безветрие";"0";"";"";"";"Туман с отложением изморози, неба не видно. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 05:00";"-39.0";"746.0";"";"";"65";"Штиль, безветрие";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25.12.2020 02:00";"-36.0";"745.0";"";"";"67";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 23:00";"-36.0";"745.0";"";"";"68";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 20:00";"-35.0";"745.0";"";"";"69";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 17:00";"-34.0";"744.0";"";"";"70";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 14:00";"-30.0";"743.0";"";"";"72";"Ветер, дующий с востока";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 11:00";"-30.0";"743.0";"";"";"73";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 08:00";"-31.0";"743.0";"";"";"72";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 05:00";"-32.0";"743.0";"";"";"72";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24.12.2020 02:00";"-32.0";"743.0";"";"";"72";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 23:00";"-32.0";"743.0";"";"";"72";"Штиль, безветрие";"0";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 20:00";"-30.0";"744.0";"";"";"74";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 17:00";"-28.0";"744.0";"";"";"75";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 14:00";"-27.0";"744.0";"";"";"75";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 11:00";"-29.0";"745.0";"";"";"75";"Ветер, дующий с северо-востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 08:00";"-29.0";"745.0";"";"";"75";"Ветер, дующий с востока";"1";"";"";"";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 05:00";"-29.0";"745.0";"";"";"74";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23.12.2020 02:00";"-30.0";"745.0";"";"";"74";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 23:00";"-30.0";"745.0";"";"";"74";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 20:00";"-30.0";"746.0";"";"";"75";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 17:00";"-29.0";"745.0";"";"";"74";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 14:00";"-29.0";"744.0";"";"";"74";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 11:00";"-32.0";"744.0";"";"";"71";"Ветер, дующий с востока";"1";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 08:00";"-33.0";"743.0";"";"";"72";"Ветер, дующий с северо-востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 05:00";"-35.0";"742.0";"";"";"69";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22.12.2020 02:00";"-34.0";"742.0";"";"";"71";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 23:00";"-33.0";"741.0";"";"";"72";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 20:00";"-31.0";"740.0";"";"";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 17:00";"-28.0";"740.0";"";"";"78";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 14:00";"-22.0";"739.0";"";"";"81";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 11:00";"-25.0";"739.0";"";"";"80";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 08:00";"-25.0";"739.0";"";"";"82";"Ветер, дующий с востока";"1";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 05:00";"-23.0";"738.0";"";"";"84";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21.12.2020 02:00";"-18.0";"737.0";"";"";"89";"Ветер, дующий с юго-запада";"1";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 23:00";"-13.0";"737.0";"";"";"91";"Штиль, безветрие";"0";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 20:00";"-12.0";"737.0";"";"";"90";"Ветер, дующий с запада";"1";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 17:00";"-6.0";"736.0";"";"";"66";"Ветер, дующий с запада";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 14:00";"-11.0";"734.0";"";"";"89";"Ветер, дующий с востока";"1";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 11:00";"-14.0";"734.0";"";"";"85";"Ветер, дующий с востока";"1";"";"";"";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 08:00";"-15.0";"735.0";"";"";"85";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 05:00";"-17.0";"736.0";"";"";"84";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20.12.2020 02:00";"-18.0";"737.0";"";"";"83";"Ветер, дующий с юго-востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 23:00";"-19.0";"738.0";"";"";"83";"Ветер, дующий с юго-востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 20:00";"-20.0";"740.0";"";"";"81";"Ветер, дующий с юго-востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 17:00";"-20.0";"742.0";"";"";"81";"Штиль, безветрие";"0";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 14:00";"-21.0";"742.0";"";"";"79";"Ветер, дующий с юго-востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 11:00";"-22.0";"744.0";"";"";"79";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 08:00";"-23.0";"745.0";"";"";"80";"Ветер, дующий с северо-востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 05:00";"-25.0";"745.0";"";"";"79";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19.12.2020 02:00";"-26.0";"746.0";"";"";"78";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 23:00";"-25.0";"747.0";"";"";"79";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 20:00";"-25.0";"747.0";"";"";"78";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 17:00";"-25.0";"748.0";"";"";"77";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 14:00";"-26.0";"748.0";"";"";"76";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 11:00";"-28.0";"749.0";"";"";"75";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 08:00";"-29.0";"750.0";"";"";"74";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 05:00";"-28.0";"752.0";"";"";"75";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18.12.2020 02:00";"-30.0";"753.0";"";"";"74";"Штиль, безветрие";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 23:00";"-28.0";"753.0";"";"";"75";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 20:00";"-27.0";"754.0";"";"";"78";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 17:00";"-26.0";"754.0";"";"";"77";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 14:00";"-26.0";"754.0";"";"";"76";"Штиль, безветрие";"0";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 11:00";"-29.0";"753.0";"";"";"74";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 08:00";"-30.0";"752.0";"";"";"72";"Ветер, дующий с юго-запада";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 05:00";"-31.0";"751.0";"";"";"73";"Ветер, дующий с востока";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17.12.2020 02:00";"-32.0";"749.0";"";"";"71";"Штиль, безветрие";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 23:00";"-32.0";"748.0";"";"";"71";"Штиль, безветрие";"0";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 20:00";"-31.0";"746.0";"";"";"73";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 17:00";"-32.0";"745.0";"";"";"71";"Штиль, безветрие";"0";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 14:00";"-29.0";"744.0";"";"";"71";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 11:00";"-31.0";"744.0";"";"";"72";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 08:00";"-32.0";"744.0";"";"";"70";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 05:00";"-33.0";"745.0";"";"";"69";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16.12.2020 02:00";"-34.0";"746.0";"";"";"68";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15.12.2020 23:00";"-36.0";"748.0";"";"";"67";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15.12.2020 20:00";"-36.0";"749.0";"";"";"66";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15.12.2020 17:00";"-36.0";"750.0";"";"";"66";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
