district,district_url,np,np_url,station,lat,lon,id_station,HubName,HubDist
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Куркат,https://rp5.ru/Погода_в_Куркате,Архив погоды в Инге,52.966666666667,101.98333333333,30703,30606,42351.5445935812
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Кутулик,https://rp5.ru/Погода_в_Кутулике,Архив погоды в Заларях,53.55,102.51666666667,30606,30606,28350.0382987693
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Малый Кутулик,https://rp5.ru/Погода_в_Малом_Кутулике,Архив погоды в Заларях,53.55,102.51666666667,30606,30606,24264.0220801827
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Маниловская,https://rp5.ru/Погода_в_Маниловской,Архив погоды в Заларях,53.55,102.51666666667,30606,30606,15499.7937352938
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Могоенок,https://rp5.ru/Погода_в_Могоенке,Архив погоды в Заларях,53.55,102.51666666667,30606,30617,29185.557086103
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Мольта,"https://rp5.ru/Погода_в_Мольте,_Аларский_район","Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,22308.4096759187
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Нарены,https://rp5.ru/Погода_в_Наренах,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,20149.7894237969
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Нельхай,https://rp5.ru/Погода_в_Нельхае,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,21526.3545800771
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Ныгда,https://rp5.ru/Погода_в_Ныгде,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,31632.576475818
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Отрадная,"https://rp5.ru/Погода_в_Отрадной,_Иркутская_область",Архив погоды в Заларях,53.55,102.51666666667,30606,30606,35974.8989549186
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Табарсук,https://rp5.ru/Погода_в_Табарсуке,Архив погоды в Заларях,53.55,102.51666666667,30606,30617,31836.9214192169
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Тыргетуй,"https://rp5.ru/Погода_в_Тыргетуе,_Иркутская_область","Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,24065.455075565
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Угольная,"https://rp5.ru/Погода_в_Угольной,_Аларский_район","Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30606,31865.704798338
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Халта,https://rp5.ru/Погода_в_Халте,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,28082.337539767
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Халты,https://rp5.ru/Погода_в_Халтах,Архив погоды в Заларях,53.55,102.51666666667,30606,30606,36341.5072061122
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Хигинская,https://rp5.ru/Погода_в_Хигинской,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,27491.5635146478
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Шаховская,"https://rp5.ru/Погода_в_Шаховской,_Иркутская_область",Архив погоды в Заларях,53.55,102.51666666667,30606,30606,19509.8175511083
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Шелемина,https://rp5.ru/Погода_в_Шелемине,Архив погоды в Заларях,53.55,102.51666666667,30606,30606,20475.4378638457
