start,end,1,2,3,4,10,11,12,sum_RRR_fact,percent,decade_start,decade_end,start_month,end_month,sum_RRR,decade_sum_RRR,decade_percent,id_station,station
2019-10-22,2020-03-31,13.0,6.0,2.1,,23.0,18.3,34.3,96.7,-46.574585635359114,7.666666666666666,2.1,10,3,181.0,81.36666666666666,-55.04604051565378,30405,Тангуй
2017-10-17,2018-03-31,17.6,12.7,0.7,,1.0,13.5,39.0,84.5,-57.537688442211056,0.3333333333333333,0.7,10,3,199.0,83.83333333333333,-57.87269681742044,30406,Калтук
2018-10-17,2019-03-31,13.7,2.9000000000000004,0.0,,3.4,30.2,18.2,68.4,-65.62814070351759,1.1333333333333333,0.0,10,3,199.0,66.13333333333334,-66.76716917922948,30406,Калтук
2019-10-17,2020-03-31,14.1,6.1000000000000005,1.4,,29.8,13.3,25.2,89.9,-54.824120603015075,9.933333333333334,1.4,10,3,199.0,70.03333333333333,-64.80737018425461,30406,Калтук
2017-10-17,2018-04-15,21.1,9.0,5.3,0.0,20.0,44.0,12.0,111.4,-10.879999999999995,6.666666666666666,0.0,10,4,125.0,98.06666666666666,-21.546666666666667,30433,Нижнеангарск
2018-10-17,2019-04-15,17.6,0.0,5.6000000000000005,0.0,27.6,19.5,23.4,93.70000000000002,-25.039999999999978,9.2,0.0,10,4,125.0,75.30000000000001,-39.76,30433,Нижнеангарск
2019-10-17,2020-04-15,22.8,23.2,29.1,0.0,59.6,15.9,3.5,154.1,23.279999999999987,19.866666666666667,0.0,10,4,125.0,114.36666666666667,-8.50666666666666,30433,Нижнеангарск
2017-10-14,2018-04-15,17.900000000000002,18.4,15.9,0.9,4.0,11.4,51.7,120.2,-22.948717948717942,2.6666666666666665,0.6,10,4,156.0,118.56666666666666,-23.9957264957265,30437,Карам
2018-10-14,2019-04-15,17.9,6.0,13.7,,17.4,20.3,12.5,87.8,-43.717948717948715,11.599999999999998,,10,4,156.0,81.99999999999999,-47.435897435897445,30437,Карам
2019-10-14,2020-04-15,9.8,9.4,14.3,0.0,34.1,12.1,14.4,94.1,-39.67948717948718,22.733333333333334,0.0,10,4,156.0,82.73333333333333,-46.965811965811966,30437,Карам
2017-10-22,2018-03-24,16.0,15.2,0.5,,5.4,20.3,36.3,93.7,-53.15,1.8,0.3333333333333333,10,3,200.0,89.93333333333332,-55.03333333333334,30504,Тулун
2018-10-22,2019-03-24,11.6,0.7,0.0,,11.7,21.1,14.299999999999999,59.4,-70.3,3.8999999999999995,0.0,10,3,200.0,51.599999999999994,-74.2,30504,Тулун
2019-10-22,2020-03-24,7.2,5.3,3.0,,27.8,12.3,30.8,86.39999999999999,-56.800000000000004,9.266666666666666,2.0,10,3,200.0,66.86666666666666,-66.56666666666666,30504,Тулун
2017-10-16,2018-04-10,16.5,13.700000000000001,3.0,0.0,11.6,16.2,49.8,110.8,-39.120879120879124,7.7333333333333325,0.0,10,4,182.0,106.93333333333334,-41.24542124542124,30521,Жигалово
2018-10-16,2019-04-10,14.2,1.3,9.1,0.0,8.8,19.3,14.8,67.5,-62.91208791208791,5.866666666666667,0.0,10,4,182.0,64.56666666666666,-64.52380952380952,30521,Жигалово
2019-10-16,2020-04-10,10.3,4.4,15.7,0.0,15.7,11.0,19.8,76.89999999999999,-57.74725274725275,10.466666666666665,0.0,10,4,182.0,71.66666666666666,-60.62271062271063,30521,Жигалово
2017-10-15,2018-04-15,25.4,16.9,11.4,1.0,6.3,14.1,56.5,131.6,-24.367816091954026,4.199999999999999,0.6666666666666666,10,4,174.0,129.16666666666666,-25.766283524904225,30526,Тырка
2018-10-15,2019-04-15,14.0,1.3,8.3,0.0,17.0,16.7,15.8,73.1,-57.98850574712644,11.333333333333332,0.0,10,4,174.0,67.43333333333334,-61.245210727969344,30526,Тырка
2019-10-15,2020-04-15,7.3999999999999995,6.1,27.0,0.0,16.7,15.4,13.3,85.9,-50.632183908045974,11.133333333333333,0.0,10,4,174.0,80.33333333333333,-53.83141762452108,30526,Тырка
2017-10-22,2018-03-31,17.9,16.6,1.0,,8.9,23.8,62.8,131.0,-12.080536912751683,2.966666666666667,1.0,10,3,149.0,125.06666666666666,-16.062639821029094,30603,Зима
2018-10-22,2019-03-31,9.9,1.8,,,10.2,9.9,21.0,52.8,-64.56375838926175,3.3999999999999995,,10,3,149.0,46.0,-69.12751677852349,30603,Зима
2019-10-22,2020-03-31,3.5,4.2,0.0,,6.5,13.8,34.5,62.5,-58.053691275167786,2.1666666666666665,0.0,10,3,149.0,58.16666666666667,-60.961968680089484,30603,Зима
2017-10-19,2018-03-31,10.2,12.3,0.9,,1.4,6.2,53.0,84.0,-51.724137931034484,0.4666666666666666,0.9,10,3,174.0,83.06666666666666,-52.26053639846743,30606,Залари
2018-10-19,2019-03-31,6.5,0.2,0.0,,14.100000000000001,4.5,12.2,37.5,-78.44827586206897,4.7,0.0,10,3,174.0,28.1,-83.85057471264368,30606,Залари
2019-10-19,2020-03-31,2.6,2.5,0.0,,13.4,12.1,30.5,61.1,-64.88505747126436,4.466666666666667,0.0,10,3,174.0,52.166666666666664,-70.01915708812261,30606,Залари
2017-10-22,2018-03-31,7.3,7.0,0.4,,7.0,13.3,37.2,72.2,-47.29927007299269,2.333333333333333,0.4,10,3,137.0,67.53333333333333,-50.70559610705596,30612,Балаганск
2018-10-22,2019-03-31,5.3,0.8,0.0,,1.9,7.2,8.9,24.1,-82.4087591240876,0.6333333333333333,0.0,10,3,137.0,22.833333333333336,-83.33333333333333,30612,Балаганск
2019-10-22,2020-03-31,2.5,1.3,0.4,,7.3,8.9,24.2,44.599999999999994,-67.44525547445255,2.433333333333333,0.4,10,3,137.0,39.733333333333334,-70.99756690997566,30612,Балаганск
2017-10-27,2018-03-31,10.7,16.4,1.0,,0.5,9.0,32.4,70.0,-52.05479452054795,0.0,1.0,10,3,146.0,69.5,-52.3972602739726,30617,Черемхово
2018-10-27,2019-03-31,4.2,0.0,0.0,,14.2,3.6,12.3,34.3,-76.5068493150685,0.0,0.0,10,3,146.0,20.1,-86.23287671232876,30617,Черемхово
2019-10-27,2020-03-31,3.6,3.2,0.0,,12.2,9.6,26.1,54.7,-62.534246575342465,0.0,0.0,10,3,146.0,42.5,-70.89041095890411,30617,Черемхово
2019-10-24,2020-03-31,2.1,2.6,0.0,,21.6,8.4,24.400000000000002,59.10000000000001,-51.55737704918032,7.2,0.0,10,3,122.0,44.7,-63.36065573770492,30618,Бохан
2017-10-23,2018-04-03,10.5,5.8,6.2,0.5,5.9,8.700000000000001,32.9,70.5,-40.7563025210084,1.9666666666666668,0.0,10,4,119.0,66.06666666666666,-44.48179271708684,30622,Качуг
2018-10-23,2019-04-03,5.4,0.9,6.6,,11.8,6.7,6.1,37.5,-68.4873949579832,3.9333333333333336,,10,4,119.0,29.633333333333333,-75.09803921568627,30622,Качуг
2019-10-23,2020-04-03,4.5,3.5,10.2,,5.5,9.3,10.3,43.3,-63.61344537815126,1.8333333333333333,,10,4,119.0,39.63333333333333,-66.69467787114846,30622,Качуг
2017-10-22,2018-03-31,8.5,5.7,0.7,,4.1,3.9,23.2,46.099999999999994,-43.086419753086425,1.3666666666666665,0.7,10,3,81.0,43.36666666666666,-46.460905349794245,30627,Баяндай
2018-10-22,2019-03-31,6.0,0.5,0.0,,9.3,6.3999999999999995,6.1,28.299999999999997,-65.06172839506172,3.1,0.0,10,3,81.0,22.1,-72.71604938271605,30627,Баяндай
2019-10-22,2020-03-31,2.4,6.4,0.0,,7.7,5.5,13.0,35.0,-56.79012345679013,2.5666666666666664,0.0,10,3,81.0,29.866666666666667,-63.1275720164609,30627,Баяндай
2017-10-27,2018-03-24,1.0,1.1,0.3,,0.6,1.5,12.3,16.8,-79.25925925925925,0.0,0.19999999999999998,10,3,81.0,16.1,-80.12345679012346,30629,Хужир
2018-10-27,2019-03-24,0.2,0.3,,,,0.6,2.4,3.5,-95.67901234567901,,,10,3,81.0,3.5,-95.67901234567901,30629,Хужир
2019-10-27,2020-03-24,1.3,2.2,2.0,,0.5,2.3,5.5,13.8,-82.96296296296296,0.0,1.3333333333333333,10,3,81.0,12.633333333333333,-84.40329218106996,30629,Хужир
2017-11-05,2018-03-23,0.4,0.7,0.2,,,0.7,29.5,31.5,-41.666666666666664,0.7,0.13333333333333333,11,3,54.0,31.433333333333334,-41.79012345679012,30637,Узуры
2018-11-05,2019-03-23,1.8,0.0,0.0,,,4.7,9.3,15.8,-70.74074074074073,4.7,0.0,11,3,54.0,15.8,-70.74074074074073,30637,Узуры
2019-11-05,2020-03-23,1.4000000000000001,3.0,1.0,,,3.4,49.0,57.8,7.037037037037038,3.4,0.6666666666666666,11,3,54.0,57.46666666666667,6.41975308641976,30637,Узуры
2017-11-04,2018-03-23,18.1,22.7,0.9,,,30.2,45.5,117.39999999999999,23.578947368421026,30.2,0.6,11,3,95.0,117.1,23.263157894736835,30703,Инга
2018-11-04,2019-03-23,4.7,6.4,0.0,,,16.1,19.8,47.0,-50.526315789473685,16.1,0.0,11,3,95.0,47.0,-50.526315789473685,30703,Инга
2019-11-04,2020-03-23,3.0,8.6,1.2,,,21.6,25.9,60.3,-36.526315789473685,21.6,0.7999999999999999,11,3,95.0,59.9,-36.94736842105263,30703,Инга
2017-11-04,2018-03-23,18.8,19.0,0.2,,,15.5,50.4,103.9,-10.43103448275862,15.5,0.13333333333333333,11,3,116.0,103.83333333333333,-10.488505747126439,30710,Иркутск
2018-11-04,2019-03-23,6.8,1.5,0.0,,,16.3,15.799999999999999,40.4,-65.17241379310346,16.3,0.0,11,3,116.0,40.4,-65.17241379310346,30710,Иркутск
2019-11-04,2020-03-23,7.0,11.2,0.0,,,14.7,22.5,55.4,-52.241379310344826,14.7,0.0,11,3,116.0,55.4,-52.241379310344826,30710,Иркутск
2017-10-24,2018-03-31,4.7,7.4,0.6,,0.0,3.2,28.2,44.1,-45.55555555555555,0.0,0.6,10,3,81.0,44.1,-45.55555555555555,30713,Усть-Ордынский
2018-10-24,2019-03-31,4.3,0.2,,,0.8999999999999999,4.9,4.2,14.5,-82.09876543209876,0.29999999999999993,,10,3,81.0,13.899999999999999,-82.8395061728395,30713,Усть-Ордынский
2019-10-24,2020-03-31,2.4,2.4,0.0,,11.9,1.9,15.7,34.3,-57.65432098765432,3.966666666666667,0.0,10,3,81.0,26.366666666666667,-67.44855967078189,30713,Усть-Ордынский
2017-10-30,2018-03-24,14.1,23.9,0.5,,9.2,30.0,23.9,101.6,-16.033057851239676,0.0,0.3333333333333333,10,3,121.0,92.23333333333335,-23.77410468319559,30714,Хайта
2018-10-30,2019-03-24,4.0,6.5,0.0,,28.4,13.8,15.299999999999999,68.0,-43.80165289256198,0.0,0.0,10,3,121.0,39.6,-67.27272727272728,30714,Хайта
2019-10-30,2020-03-24,4.4,13.3,3.0,,23.7,18.6,13.2,76.2,-37.02479338842974,0.0,2.0,10,3,121.0,51.5,-57.438016528925615,30714,Хайта
2017-11-01,2018-03-23,12.7,19.1,1.0,,,14.3,48.6,95.69999999999999,11.27906976744184,14.3,0.6666666666666666,11,3,86.0,95.36666666666667,10.89147286821705,30715,Ангарск
2018-11-01,2019-03-23,5.800000000000001,1.0,,,,17.9,12.4,37.1,-56.860465116279066,17.9,,11,3,86.0,37.1,-56.860465116279066,30715,Ангарск
2019-11-01,2020-03-23,4.4,9.9,0.0,,,11.6,21.3,47.2,-45.11627906976744,11.6,0.0,11,3,86.0,47.2,-45.11627906976744,30715,Ангарск
2017-11-04,2018-03-24,8.5,9.7,0.6,,,5.4,34.2,58.400000000000006,-27.901234567901227,5.4,0.39999999999999997,11,3,81.0,58.2,-28.148148148148138,30716,Хомутово
2018-11-04,2019-03-24,4.4,0.4,0.0,,,5.4,8.4,18.6,-77.03703703703704,5.4,0.0,11,3,81.0,18.6,-77.03703703703704,30716,Хомутово
2019-11-04,2020-03-24,11.6,8.1,0.0,,,7.2,17.5,44.4,-45.18518518518518,7.2,0.0,11,3,81.0,44.4,-45.18518518518518,30716,Хомутово
